Local authority,9:00am on 5 March 2020
Barking and Dagenham,0
Barnet,1 to 4
Barnsley,1 to 4
Bath and North East Somerset,0
Bedford,0
Bexley,0
Birmingham,1 to 4
Blackburn with Darwen,0
Blackpool,0
Bolton,1 to 4
Bournemouth,0
Bracknell Forest,0
Bradford,1 to 4
Brent,0
Brighton and Hove,6
"Bristol, City of",0
Bromley,1 to 4
Buckinghamshire,0
Bury,1 to 4
Calderdale,0
Cambridgeshire,0
Camden,1 to 4
Central Bedfordshire,0
Cheshire East,0
Cheshire West and Chester,0
City of London,0
Cornwall,1 to 4
County Durham,0
Coventry,0
Croydon,0
Cumbria,0
Darlington,0
Derby,0
Derbyshire,1 to 4
Devon,7
Doncaster,0
Dorset,0
Dudley,0
Ealing,1 to 4
East Riding of Yorkshire,0
East Sussex,0
Enfield,0
Essex,1 to 4
Gateshead,0
Gloucestershire,1 to 4
Greenwich,0
Hackney,0
Halton,0
Hammersmith and Fulham,0
Hampshire,1 to 4
Haringey,0
Harrow,1 to 4
Hartlepool,0
Havering,0
"Herefordshire, County of",0
Hertfordshire,5
Hillingdon,0
Hounslow,1 to 4
Isle of Wight,0
Isles of Scilly,0
Islington,0
Kensington and Chelsea,1 to 4
Kent,1 to 4
"Kingston upon Hull, City of",1 to 4
Kingston upon Thames,1 to 4
Kirklees,0
Knowsley,0
Lambeth,0
Lancashire,1 to 4
Leeds,1 to 4
Leicester,0
Leicestershire,0
Lewisham,1 to 4
Lincolnshire,1 to 4
Liverpool,0
Luton,0
Manchester,1 to 4
Medway,0
Merton,1 to 4
Middlesbrough,0
Milton Keynes,0
Newcastle upon Tyne,1 to 4
Newham,0
Norfolk,0
North East Lincolnshire,0
North Lincolnshire,0
North Somerset,0
North Tyneside,0
North Yorkshire,0
Northamptonshire,1 to 4
Northumberland,0
Nottingham,1 to 4
Nottinghamshire,0
Oldham,1 to 4
Oxfordshire,1 to 4
Peterborough,1 to 4
Plymouth,0
Poole,0
Portsmouth,0
Reading,0
Redbridge,0
Redcar and Cleveland,0
Richmond upon Thames,0
Rochdale,0
Rotherham,0
Rutland,0
Salford,0
Sandwell,0
Sefton,0
Sheffield,0
Shropshire,0
Slough,0
Solihull,0
Somerset,1 to 4
South Gloucestershire,0
South Tyneside,0
Southampton,0
Southend-on-Sea,0
Southwark,1 to 4
St. Helens,0
Staffordshire,1 to 4
Stockport,0
Stockton-on-Tees,0
Stoke-on-Trent,0
Suffolk,0
Sunderland,0
Surrey,1 to 4
Sutton,0
Swindon,0
Tameside,0
Telford and Wrekin,0
Thurrock,0
Torbay,1 to 4
Tower Hamlets,0
Trafford,1 to 4
Wakefield,0
Walsall,0
Waltham Forest,0
Wandsworth,1 to 4
Warrington,0
Warwickshire,0
West Berkshire,0
West Sussex,1 to 4
Westminster,0
Wigan,1 to 4
Wiltshire,1 to 4
Windsor and Maidenhead,0
Wirral,1 to 4
Wokingham,1 to 4
Wolverhampton,0
Worcestershire,0
York,1 to 4
awaiting clarification,8